IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Code,,
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346,11721,24,Bishop International
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417,11775,54,Sioux Falls Regional
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744,11778,3,Fort Smith Regional
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515,11823,45,Fort Wayne International
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936,11865,42,Gillette-Campbell County
GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72441,11867,2,Garden City Regional
GEG,Spokane International Airport,Spokane,WA,USA,47.61986,-117.53384,11884,17,Spokane International
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.94926,-97.17611,11898,14,Grand Forks International
GGG,East Texas Regional Airport,Longview,TX,USA,32.38486,-94.71171,11905,7,East Texas Regional
GJT,Grand Junction Regional Airport?(Walker Field),Grand Junction,CO,USA,39.12241,-108.52673,11921,16,Grand Junction Regional ?(Walker Field)
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,11953,32,Gainesville Regional
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009,11973,20,Gulfport-Biloxi International
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959,11977,4,Green Bay-Austin Straubel International
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861,11980,3,Central Nebraska Regional
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,11982,2,Killeen-Fort Hood Regional
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,11986,4,Gerald R. Ford International
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,11995,9,Piedmont Triad International
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21886,11996,1,Greenville-Spartanburg International
